<Ticker>,Date,OpenFixed,HighFixed,LowFixed,CloseFixed,Volume
^BDS,20141230,384.3000,390.7600,382.3600,390.4300,346745
^BDS,20141231,390.4300,396.9000,389.2000,394.1900,189462
^BDS,20150105,394.1900,395.1800,390.1600,393.1100,155308
^BDS,20150106,393.1100,396.2200,389.5600,395.7000,230283
^BDS,20150107,395.7000,398.0600,392.6100,394.5200,168813
^BDS,20150108,394.5200,399.2900,393.5800,395.8800,262927
^BDS,20150109,395.8800,401.4200,394.4800,395.1400,348820
^BDS,20150112,395.1400,398.5500,390.9500,391.0400,183951
^BDS,20150113,391.0400,395.0100,388.0600,391.0500,289372
^BDS,20150114,391.0500,394.2300,389.2800,391.4700,245587
^BDS,20150115,391.4700,395.4400,388.9600,393.9800,322434
^BDS,20150116,393.9800,395.5100,390.8500,393.5500,224319
^BDS,20150119,393.5500,399.2700,392.1000,393.9700,219506
^BDS,20150120,393.9700,396.7300,391.4400,392.3700,161283
^BDS,20150121,392.3700,395.3000,391.2600,392.1600,115751
^BDS,20150122,392.1600,395.1500,391.5500,392.3400,116251
^BDS,20150123,392.3400,400.8600,391.9900,400.1800,335272
^BDS,20150126,400.1800,406.9600,399.2300,401.1200,136167
^BDS,20150127,401.1200,403.2300,394.0900,398.9700,306417
^BDS,20150128,398.9700,400.1300,395.2100,397.0700,186284
^BDS,20150129,397.0700,399.5700,395.1100,397.7500,125431
^BDS,20150130,397.7500,403.6700,395.4500,399.3700,402137
^BDS,20150202,399.3700,400.3900,395.8600,396.2800,176429
^BDS,20150203,396.2800,398.3500,389.8500,390.4200,157130
^BDS,20150204,390.4200,393.9000,386.3100,390.6600,261680
^BDS,20150205,390.6600,392.6500,388.9000,390.3900,125142
^BDS,20150206,390.3900,394.4100,390.0000,391.8300,113309
^BDS,20150209,391.8300,397.2500,391.5100,394.8100,237318
^BDS,20150210,394.8100,398.5800,393.5300,394.4900,158928
^BDS,20150211,394.4900,404.7700,394.4500,404.3300,288149
^BDS,20150212,404.3300,415.9800,403.6900,414.6400,702310
^BDS,20150213,414.6400,425.9500,414.2100,419.1700,473178
^BDS,20150224,419.1700,426.9300,415.2600,426.1900,300539
^BDS,20150225,426.1900,426.7300,414.3800,415.2300,272244
^BDS,20150226,415.2300,419.3400,409.1700,415.2200,376514
^BDS,20150227,415.2200,416.9300,411.3800,412.4800,272448
^BDS,20150302,412.4800,416.0600,410.8400,414.4900,266148
^BDS,20150303,414.4900,433.2900,414.0600,429.6000,853824
