<Ticker>,Date,OpenFixed,HighFixed,LowFixed,CloseFixed,Volume
^DAUKHI,20180427,653.7800,664.6700,622.8500,636.6500,1120181
^DAUKHI,20180502,636.6500,645.8400,598.4100,608.2900,813763
^DAUKHI,20180503,608.2900,614.7300,576.3600,586.6800,1504755
^DAUKHI,20180504,586.6800,607.5600,580.8200,590.7600,910394
^DAUKHI,20180507,590.7600,630.5000,588.7600,625.9300,979427
^DAUKHI,20180508,625.9300,642.5800,614.9700,623.3500,835062
^DAUKHI,20180509,623.3500,649.1700,617.4600,636.4200,872095
^DAUKHI,20180510,636.4200,655.9000,614.7400,615.5800,926159
^DAUKHI,20180511,615.5800,644.8700,591.8700,641.6800,1301850
^DAUKHI,20180514,641.6800,677.1500,635.8700,668.0900,724812
^DAUKHI,20180515,668.0900,701.7900,667.3900,686.8300,1177333
^DAUKHI,20180516,686.8300,699.3900,672.2300,686.8700,1099121
^DAUKHI,20180517,686.8700,702.7400,673.1100,676.2400,857541
^DAUKHI,20180518,676.2400,683.8600,642.6700,672.4300,1014900
^DAUKHI,20180521,672.4300,681.9600,638.2400,638.3900,741380
^DAUKHI,20180522,638.3900,646.7700,598.3800,616.1400,954567
^DAUKHI,20180523,616.1400,645.6700,605.7200,644.7200,762237
^DAUKHI,20180524,644.7200,653.6600,621.1400,642.2000,484409
^DAUKHI,20180525,642.2000,643.4500,600.9000,602.2900,951205
^DAUKHI,20180528,602.2900,602.6500,557.9700,562.2600,1037174
^DAUKHI,20180529,562.2600,586.4500,539.0700,570.7500,1240334
^DAUKHI,20180530,570.7500,572.6800,540.4000,543.7600,917193
^DAUKHI,20180531,543.7600,568.1200,541.2100,557.3300,1052974
^DAUKHI,20180601,557.3300,569.5100,552.1900,564.8600,730111
^DAUKHI,20180604,564.8600,576.8400,556.6200,570.1200,956378
^DAUKHI,20180605,570.1200,603.9000,566.3300,600.7600,1333418
^DAUKHI,20180606,600.7600,622.3100,596.9500,617.6100,712635
^DAUKHI,20180607,617.6100,619.1000,590.8300,601.7400,1049805
^DAUKHI,20180608,601.7400,610.9300,584.6600,597.9700,853377
^DAUKHI,20180611,597.9700,608.1700,583.4800,590.8100,642845
^DAUKHI,20180612,590.8100,592.1100,556.4900,567.5700,1131558
^DAUKHI,20180613,567.5700,590.0600,566.8700,588.5300,570106
^DAUKHI,20180614,588.5300,600.0800,578.4100,580.9800,700420
^DAUKHI,20180615,580.9800,589.3400,575.5200,587.7500,567589
^DAUKHI,20180618,587.7500,587.9000,557.2500,558.7400,1087144
