<Ticker>,Date,OpenFixed,HighFixed,LowFixed,CloseFixed,Volume
^THEP,20110603,252.3400,255.4000,242.2700,249.4000,374488
^THEP,20110606,249.4000,251.1800,242.2900,245.4200,59368
^THEP,20110607,245.4200,255.6900,245.2200,254.6300,113944
^THEP,20110608,254.6300,258.3200,248.0500,251.0700,151094
^THEP,20110609,251.0700,254.0000,247.8900,253.2200,101881
^THEP,20110610,253.2200,260.2500,252.3500,256.6500,114403
^THEP,20110613,256.6500,265.7600,251.9400,263.2600,115452
^THEP,20110614,263.2600,268.5300,258.5200,259.6100,170459
^THEP,20110615,259.6100,260.0500,250.9800,253.5500,158664
^THEP,20110616,253.5500,259.0500,248.7500,254.3600,164584
^THEP,20110617,254.3600,255.5600,242.1200,244.4300,327275
^THEP,20110620,244.4300,249.4600,239.0900,239.5400,131148
^THEP,20110621,239.5400,247.5900,237.4200,245.7400,45667
^THEP,20110622,245.7400,248.8400,243.0700,246.8300,152777
^THEP,20110623,246.8300,247.6600,239.5200,242.0500,110259
^THEP,20110624,242.0500,244.5200,238.1100,239.2800,209363
^THEP,20110627,239.2800,241.5200,234.3800,236.8700,197494
^THEP,20110628,236.8700,240.2800,232.8700,238.2500,71205
^THEP,20110629,238.2500,241.0000,233.4200,237.1500,76478
^THEP,20110630,237.1500,240.5800,231.1500,235.1400,129256
^THEP,20110701,235.1400,235.2300,228.9700,231.3400,153473
^THEP,20110704,231.3400,235.8800,225.7800,232.8000,293621
^THEP,20110705,232.8000,237.7900,232.3100,236.3100,104178
^THEP,20110706,236.3100,237.1800,231.6900,232.5800,55565
^THEP,20110707,232.5800,233.6900,226.5300,230.6300,83259
^THEP,20110708,230.6300,230.6300,225.4000,227.6100,202962
^THEP,20110711,227.6100,228.8700,224.2300,224.8300,55812
^THEP,20110712,224.8300,225.7100,219.4600,222.5400,189716
^THEP,20110713,222.5400,226.5200,221.2800,223.8400,161777
^THEP,20110714,223.8400,224.4300,220.3300,222.0400,103323
^THEP,20110715,222.0400,222.0400,217.3000,218.2500,94990
^THEP,20110718,218.2500,219.9100,216.0100,219.7300,13492
^THEP,20110719,219.7300,219.7300,214.3700,215.8100,62975
^THEP,20110720,215.8100,221.5500,213.7000,221.5500,143774
^THEP,20110721,221.5500,221.6400,214.0900,214.2700,235329
^THEP,20110722,214.2700,215.6200,211.9400,213.7500,51354
^THEP,20110725,213.7500,215.8000,211.0700,213.0800,89799
^THEP,20110726,213.0800,214.3500,209.1000,209.7800,153380
^THEP,20110727,209.7800,212.5000,208.0600,212.3000,85759
^THEP,20110728,212.3000,214.2800,210.2000,210.8200,129796
^THEP,20110729,210.8200,216.5000,209.3200,216.0700,166861
^THEP,20110801,216.0700,216.5000,212.7500,214.2400,54159
^THEP,20110802,214.2400,214.3300,211.6300,213.1900,133984
^THEP,20110803,213.1900,214.2900,208.4400,210.2000,178994
^THEP,20110804,210.2000,215.7800,209.3400,213.7800,179125
^THEP,20110805,213.7800,215.5200,211.0200,212.9700,147463
^THEP,20110808,212.9700,213.3900,208.6300,209.3700,181441
^THEP,20110809,209.3700,209.3700,200.7300,201.3000,183761
^THEP,20110810,201.3000,204.9600,200.7000,201.4600,157022
^THEP,20110811,201.4600,201.5900,196.3500,198.3300,97625
^THEP,20110812,198.3300,200.7300,197.0100,198.5500,121400
^THEP,20110815,198.5500,199.5200,195.3100,197.1500,45042
^THEP,20110816,197.1500,199.2900,196.3500,197.6300,90362
^THEP,20110817,197.6300,202.9500,197.6300,201.3200,127450
^THEP,20110818,201.3200,206.8100,200.0400,205.1900,179799
^THEP,20110819,205.1900,205.4800,200.4600,200.7400,124781
^THEP,20110822,200.7400,205.8100,200.2300,205.5100,281469
^THEP,20110823,205.5100,206.0300,202.4600,204.2200,202186
^THEP,20110824,204.2200,205.9000,200.7900,201.3600,396953
^THEP,20110825,201.3600,203.9400,200.7200,201.4300,207332
^THEP,20110826,201.4300,203.5500,200.1700,202.2500,331815
^THEP,20110829,202.2500,207.8000,201.9000,207.2100,398015
^THEP,20110830,207.2100,210.2000,206.3400,208.5900,352482
^THEP,20110831,208.5900,210.8700,206.6900,209.4100,392992
^THEP,20110901,209.4100,212.4700,208.8200,211.8800,329715
^THEP,20110905,211.8800,216.4400,209.3400,213.0200,730604
^THEP,20110906,213.0200,214.6700,208.0500,210.0900,465328
^THEP,20110907,210.0900,214.2800,209.4500,213.2000,426358
^THEP,20110908,213.2000,220.5400,212.7600,217.6600,797476
^THEP,20110909,217.6600,221.4100,213.9100,217.2100,321919
^THEP,20110912,217.2100,220.1200,213.4200,216.3300,607868
^THEP,20110913,216.3300,222.0700,213.1800,217.0700,439987
^THEP,20110914,217.0700,218.3600,210.4900,211.0500,570100
^THEP,20110915,211.0500,212.1800,205.7300,208.3400,483741
^THEP,20110916,208.3400,210.8400,204.7400,207.2400,880519
^THEP,20110919,207.2400,212.6500,204.7500,211.3000,309941
^THEP,20110920,211.3000,212.7100,205.5100,208.4200,345489
^THEP,20110921,208.4200,210.1400,204.0700,204.8300,299794
^THEP,20110922,204.8300,208.6000,202.3500,207.1500,235172
^THEP,20110923,207.1500,207.7100,202.6800,204.3900,208453
^THEP,20110926,204.3900,204.7000,198.5100,200.6100,447051
^THEP,20110927,200.6100,203.9400,198.5000,200.0500,355946
^THEP,20110928,200.0500,204.7000,199.9500,203.0500,212084
^THEP,20110929,203.0500,204.3900,199.0900,199.6800,212933
^THEP,20110930,199.6800,203.5700,197.7300,200.4200,227324
^THEP,20111003,200.4200,201.9900,197.1400,198.7400,203660
^THEP,20111004,198.7400,200.8000,195.6500,197.8200,383628
^THEP,20111005,197.8200,200.2100,196.2000,198.3700,165152
^THEP,20111006,198.3700,201.0400,197.6100,200.2800,500689
^THEP,20111007,200.2800,201.1200,199.2300,199.8300,191693
^THEP,20111010,199.8300,200.5500,197.0600,198.0500,269567
^THEP,20111011,198.0500,198.6600,197.3400,197.4400,129892
^THEP,20111012,197.4400,198.2800,192.5800,195.2300,281329
^THEP,20111013,195.2300,196.0400,192.5600,193.6000,426937
^THEP,20111014,193.6000,196.5200,192.1200,195.6500,104927
^THEP,20111017,195.6500,195.7600,192.9900,192.9900,183442
^THEP,20111018,192.9900,193.0700,190.0900,191.2800,209802
^THEP,20111019,191.2800,194.0000,188.9800,191.2400,227707
^THEP,20111020,191.2400,191.9600,189.5800,190.2000,152900
^THEP,20111021,190.2000,193.6400,190.0000,192.4900,144197
^THEP,20111024,192.4900,193.5800,190.1400,190.8300,69674
^THEP,20111025,190.8300,191.2100,188.0500,190.2500,171472
^THEP,20111026,190.2500,192.9300,189.4600,192.8100,134082
^THEP,20111027,192.8100,195.4300,190.6200,193.6900,50029
^THEP,20111028,193.6900,197.8700,192.4700,197.8700,347588
^THEP,20111031,197.8700,200.7900,193.8800,195.3500,102024
^THEP,20111101,195.3500,195.9000,189.4600,190.5300,226852
^THEP,20111102,190.5300,190.8000,183.3300,184.3300,398214
^THEP,20111103,184.3300,185.1500,179.1700,183.1700,277619
^THEP,20111104,183.1700,184.8700,179.6500,182.1800,86720
^THEP,20111107,182.1800,182.8600,174.1600,175.2200,364546
^THEP,20111108,175.2200,178.0200,168.3200,174.7100,643448
^THEP,20111109,174.7100,175.5900,169.3800,172.6100,127469
^THEP,20111110,172.6100,173.3200,165.5500,167.3400,385184
^THEP,20111111,167.3400,169.6200,160.6800,161.6500,84392
^THEP,20111114,161.6500,161.8500,155.8800,157.6700,348611
^THEP,20111115,157.6700,160.2700,152.8500,157.4200,15069
^THEP,20111116,157.4200,161.6900,152.2800,160.8900,25758
^THEP,20111117,160.8900,161.1100,155.3500,155.9300,16284
^THEP,20111118,155.9300,157.3000,148.9400,151.7100,43351
^THEP,20111121,151.7100,154.4100,146.7000,149.7900,10034
^THEP,20111122,149.7900,154.5200,148.1300,152.9500,17216
^THEP,20111123,152.9500,157.4300,152.1700,156.4000,19402
^THEP,20111124,156.4000,159.9400,153.8100,156.8400,619245
^THEP,20111125,156.8400,158.5400,154.5000,156.7000,254997
^THEP,20111128,156.7000,159.3300,153.1700,154.7400,373635
^THEP,20111129,154.7400,158.4000,152.6700,157.6200,21810
^THEP,20111130,157.6200,157.6200,152.7600,154.9700,6892
^THEP,20111201,154.9700,157.7800,150.6300,155.5100,6245
^THEP,20111202,155.5100,157.2400,152.1100,152.8200,11913
^THEP,20111205,152.8200,156.2200,152.2700,156.2200,38037
^THEP,20111206,156.2200,161.1800,155.0100,158.9300,570627
^THEP,20111207,158.9300,159.4300,155.4100,157.6900,206638
^THEP,20111208,157.6900,158.4500,152.1700,152.2700,364084
^THEP,20111209,152.2700,153.4100,150.6300,151.8200,32552
^THEP,20111212,151.8200,154.1200,148.0600,153.4300,27598
^THEP,20111213,153.4300,155.4800,148.5200,154.3100,20209
^THEP,20111214,154.3100,156.1300,149.4300,155.2200,15133
^THEP,20111215,155.2200,155.6800,148.6100,151.5100,12574
^THEP,20111216,151.5100,153.4700,150.1000,151.8300,10645
^THEP,20111219,151.8300,152.7600,150.7200,151.0500,9517
^THEP,20111220,151.0500,151.7300,147.0600,148.9600,16626
^THEP,20111221,148.9600,150.3900,146.6100,149.2500,7016
^THEP,20111222,149.2500,150.3900,144.0100,144.2300,16303
^THEP,20111223,144.2300,145.2100,139.3000,141.3900,7680
^THEP,20111226,141.3900,144.7600,138.4300,143.6800,8758
^THEP,20111227,143.6800,144.7100,138.1900,140.3100,24634
^THEP,20111228,140.3100,142.9100,137.0800,140.2400,8363
